time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-30T13:36:21.300Z,37.5911674,-118.8356705,1.34,1.27,md,13,176,0.005335,0.02,nc,nc73333721,2020-01-30T13:37:56.722Z,"14km ESE of Mammoth Lakes, CA",earthquake,0.75,0.83,0.23,13,automatic,nc,nc
2020-01-30T13:27:53.762Z,61.3816,-150.0507,32.6,1.7,ml,,,,0.44,ak,ak0201du0y5b,2020-01-30T13:36:40.094Z,"16km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-30T13:23:01.870Z,38.833168,-122.8199997,1.52,0.56,md,10,83,0.01246,0.02,nc,nc73333716,2020-01-30T13:35:03.116Z,"8km NW of The Geysers, CA",earthquake,0.35,0.71,,1,automatic,nc,nc
2020-01-30T13:22:34.270Z,38.8354988,-122.80867,2.04,0.33,md,11,75,0.01214,0.01,nc,nc73333711,2020-01-30T13:38:03.135Z,"8km WNW of Cobb, CA",earthquake,0.32,0.94,0.23,2,automatic,nc,nc
2020-01-30T13:22:16.702Z,61.7506,-150.998,54.7,1.6,ml,,,,0.43,ak,ak0201dtzspy,2020-01-30T13:30:37.084Z,"50km W of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-01-30T13:15:26.401Z,-10.0526,160.8422,23.48,4.8,mb,,63,1.072,0.62,us,us60007k1v,2020-01-30T13:30:54.040Z,"119km SE of Honiara, Solomon Islands",earthquake,7.1,5.8,0.089,39,reviewed,us,us
2020-01-30T13:09:58.490Z,35.8588333,-117.6643333,10.48,0.47,ml,9,95,0.06926,0.13,ci,ci39286688,2020-01-30T13:13:34.402Z,"24km ESE of Little Lake, CA",earthquake,0.42,1.01,0.127,4,automatic,ci,ci
2020-01-30T12:44:29.230Z,38.7943344,-122.8098297,3.05,1.04,md,28,91,0.007994,0.02,nc,nc73333706,2020-01-30T13:00:04.871Z,"5km WNW of The Geysers, CA",earthquake,0.26,0.43,0.14,5,automatic,nc,nc
2020-01-30T12:42:59.988Z,35.07102203,-95.34999084,5,2.56,ml,19,232.8014545,0.1632442027,0.3198864947,ok,ok2020cbyt,2020-01-30T12:45:54.216Z,"6km SSE of Quinton, Oklahoma",earthquake,5.359532012,,,15,automatic,ok,ok
2020-01-30T12:33:13.907Z,35.7584877,-97.22540283,8.609490395,,,15,107.0102081,0.1844801456,0.6531599533,ok,ok2020cbyl,2020-01-30T12:34:12.438Z,"11km NNW of Luther, Oklahoma",earthquake,3.678763498,5.8583528,,,automatic,ok,ok
2020-01-30T12:32:28.130Z,33.5861667,-116.8025,5.47,0.13,ml,11,96,0.03292,0.07,ci,ci39286680,2020-01-30T12:36:08.838Z,"12km WNW of Anza, CA",earthquake,0.28,0.42,0.16,6,automatic,ci,ci
2020-01-30T12:28:08.130Z,38.8136673,-122.8056641,2.29,0.61,md,16,48,0.009895,0.02,nc,nc73333701,2020-01-30T12:43:02.774Z,"6km NW of The Geysers, CA",earthquake,0.28,0.7,0.35,2,automatic,nc,nc
2020-01-30T12:17:26.675Z,35.06326675,-95.34719086,5,2.52,ml,21,233.4944172,0.1708418578,0.512872587,ok,ok2020cbxx,2020-01-30T12:19:56.736Z,"6km SSE of Quinton, Oklahoma",earthquake,5.234766175,,,17,automatic,ok,ok
2020-01-30T12:13:47.990Z,35.8043333,-117.6218333,1.67,0.71,ml,9,147,0.02281,0.16,ci,ci39286672,2020-01-30T12:17:17.645Z,"20km WNW of Searles Valley, CA",earthquake,0.49,0.58,0.115,8,automatic,ci,ci
2020-01-30T11:54:05.230Z,19.3406658,-155.138504,1.27,2.87,ml,51,114,0.04566,0.29,hv,hv71358832,2020-01-30T13:00:08.042Z,"14km SE of Volcano, Hawaii",earthquake,0.42,0.44,2.68,30,automatic,hv,hv
2020-01-30T11:52:41.677Z,58.0599,-156.4311,183.1,1.9,ml,,,,0.65,ak,ak0201dszfh3,2020-01-30T12:00:27.901Z,"71km S of King Salmon, Alaska",earthquake,,2,,,automatic,ak,ak
2020-01-30T11:51:57.870Z,19.3360004,-155.1236725,4.68,3.34,ml,60,128,0.04863,0.19,hv,hv71358827,2020-01-30T13:05:13.405Z,"15km SE of Volcano, Hawaii",earthquake,0.37,0.59,3.46,40,automatic,hv,hv
2020-01-30T11:50:09.460Z,35.8911667,-117.6806667,5,0.33,ml,8,85,0.06172,0.06,ci,ci39286664,2020-01-30T11:53:41.568Z,"21km ESE of Little Lake, CA",earthquake,0.33,0.67,0.009,3,automatic,ci,ci
2020-01-30T11:49:20.482Z,35.11148453,-95.37680054,5,2.24,ml,14,206.8932304,0.1179228947,0.6047017932,ok,ok2020cbwz,2020-01-30T11:52:23.156Z,"1km SSW of Quinton, Oklahoma",earthquake,5.127681192,,,10,automatic,ok,ok
2020-01-30T11:48:39.110Z,35.8906667,-117.6833333,3.93,0.8,ml,12,81,0.06307,0.1,ci,ci39286656,2020-01-30T11:52:07.395Z,"21km ESE of Little Lake, CA",earthquake,0.23,0.68,0.113,10,automatic,ci,ci
2020-01-30T11:45:22.770Z,36.0536667,-117.8556667,2.33,0.93,ml,9,138,0.05379,0.13,ci,ci39286648,2020-01-30T11:48:50.536Z,"8km E of Coso Junction, CA",earthquake,0.29,0.33,0.194,11,automatic,ci,ci
2020-01-30T11:45:15.784Z,35.08535004,-95.37562561,5.457648754,1.95,ml,6,288.3211823,0.1394594908,1.13504231,ok,ok2020cbww,2020-01-30T11:47:21.493Z,"4km S of Quinton, Oklahoma",earthquake,12.36347693,7.202100104,,6,automatic,ok,ok
